timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 07:53:30.483, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 26.17 W, 49
2026/07/03 07:53:31.491, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.70 W, 48
2026/07/03 07:53:32.492, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.44 W, 47
2026/07/03 07:53:33.494, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.20 W, 47
2026/07/03 07:53:34.495, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.51 W, 46
2026/07/03 07:53:35.497, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.63 W, 45
2026/07/03 07:53:36.498, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.26 W, 45
2026/07/03 07:53:37.500, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.95 W, 44
2026/07/03 07:53:38.501, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.71 W, 44
2026/07/03 07:53:39.503, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.57 W, 44
2026/07/03 07:53:40.505, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.56 W, 43
2026/07/03 07:53:41.507, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.34 W, 43
2026/07/03 07:53:42.509, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.26 W, 42
2026/07/03 07:53:43.511, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.25 W, 42
2026/07/03 07:53:44.513, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.01 W, 42
2026/07/03 07:53:45.514, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 100.79 W, 51
2026/07/03 07:53:46.516, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 22 %, 344.99 W, 54
2026/07/03 07:53:47.517, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.56 W, 55
2026/07/03 07:53:48.519, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.61 W, 56
2026/07/03 07:53:49.521, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.58 W, 55
2026/07/03 07:53:50.523, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.57 W, 55
2026/07/03 07:53:51.524, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.58 W, 56
2026/07/03 07:53:52.525, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.70 W, 58
2026/07/03 07:53:53.528, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.58 W, 58
2026/07/03 07:53:54.529, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.76 W, 58
2026/07/03 07:53:55.531, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.32 W, 58
2026/07/03 07:53:56.533, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.28 W, 58
2026/07/03 07:53:57.534, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.28 W, 58
2026/07/03 07:53:58.536, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 347.97 W, 59
2026/07/03 07:53:59.537, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.26 W, 60
2026/07/03 07:54:00.539, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.32 W, 60
2026/07/03 07:54:01.541, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 346.58 W, 60
2026/07/03 07:54:02.542, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 348.69 W, 60
2026/07/03 07:54:03.545, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.26 W, 60
2026/07/03 07:54:04.547, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.92 W, 61
2026/07/03 07:54:05.549, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 344.81 W, 61
2026/07/03 07:54:06.551, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.32 W, 62
2026/07/03 07:54:07.553, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.67 W, 62
2026/07/03 07:54:08.555, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 88 %, 349.02 W, 61
2026/07/03 07:54:09.556, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.02 W, 61
2026/07/03 07:54:10.558, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.16 W, 61
2026/07/03 07:54:11.560, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 348.63 W, 62
2026/07/03 07:54:12.561, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 345.00 W, 63
2026/07/03 07:54:13.563, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.66 W, 63
2026/07/03 07:54:14.565, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.90 W, 63
2026/07/03 07:54:15.566, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.23 W, 62
2026/07/03 07:54:16.568, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.47 W, 62
2026/07/03 07:54:17.569, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.02 W, 63
2026/07/03 07:54:18.571, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 345.59 W, 63
2026/07/03 07:54:19.572, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 344.61 W, 63
2026/07/03 07:54:20.574, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.20 W, 64
2026/07/03 07:54:21.576, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 27 %, 348.34 W, 63
2026/07/03 07:54:22.578, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.01 W, 63
2026/07/03 07:54:23.579, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.97 W, 63
2026/07/03 07:54:24.581, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 50 %, 348.65 W, 64
2026/07/03 07:54:25.583, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 344.52 W, 64
2026/07/03 07:54:26.584, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 24 %, 344.80 W, 64
2026/07/03 07:54:27.585, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.24 W, 64
2026/07/03 07:54:28.587, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 348.99 W, 63
2026/07/03 07:54:29.588, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.20 W, 64
2026/07/03 07:54:30.590, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.16 W, 63
2026/07/03 07:54:31.591, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 346.20 W, 64
2026/07/03 07:54:32.593, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 343.55 W, 64
2026/07/03 07:54:33.595, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 343.26 W, 65
2026/07/03 07:54:34.596, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.57 W, 64
2026/07/03 07:54:35.598, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.18 W, 64
2026/07/03 07:54:36.599, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.49 W, 64
2026/07/03 07:54:37.600, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.00 W, 65
2026/07/03 07:54:38.602, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 344.89 W, 65
2026/07/03 07:54:39.603, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 345.30 W, 65
2026/07/03 07:54:40.604, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 344.76 W, 65
2026/07/03 07:54:41.606, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 349.48 W, 64
2026/07/03 07:54:42.608, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.59 W, 64
2026/07/03 07:54:43.609, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.58 W, 64
2026/07/03 07:54:44.611, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 349.02 W, 65
2026/07/03 07:54:45.612, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 345.51 W, 66
2026/07/03 07:54:46.614, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 344.72 W, 66
2026/07/03 07:54:47.615, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.20 W, 66
2026/07/03 07:54:48.617, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 349.85 W, 65
2026/07/03 07:54:49.618, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.62 W, 65
2026/07/03 07:54:50.620, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 349.56 W, 65
2026/07/03 07:54:51.621, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 346.26 W, 65
2026/07/03 07:54:52.623, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 342.71 W, 66
2026/07/03 07:54:53.624, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 343.18 W, 65
2026/07/03 07:54:54.625, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 342.80 W, 66
2026/07/03 07:54:55.626, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 348.49 W, 65
2026/07/03 07:54:56.628, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.51 W, 65
2026/07/03 07:54:57.630, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 99 %, 348.55 W, 65
2026/07/03 07:54:58.632, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 343.79 W, 66
2026/07/03 07:54:59.633, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 343.98 W, 66
