timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 08:26:16.241, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.51 W, 45
2026/07/03 08:26:17.250, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.31 W, 45
2026/07/03 08:26:18.251, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.25 W, 44
2026/07/03 08:26:19.253, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 25.15 W, 43
2026/07/03 08:26:20.255, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.89 W, 43
2026/07/03 08:26:21.256, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.66 W, 42
2026/07/03 08:26:22.258, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.42 W, 42
2026/07/03 08:26:23.259, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.27 W, 41
2026/07/03 08:26:24.260, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.29 W, 40
2026/07/03 08:26:25.261, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.36 W, 40
2026/07/03 08:26:26.263, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.41 W, 40
2026/07/03 08:26:27.265, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.19 W, 40
2026/07/03 08:26:28.267, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.06 W, 39
2026/07/03 08:26:29.269, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.22 W, 38
2026/07/03 08:26:30.270, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 0 %, 0 %, 24.04 W, 38
2026/07/03 08:26:31.272, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 22 %, 161.00 W, 50
2026/07/03 08:26:32.274, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 22 %, 345.38 W, 52
2026/07/03 08:26:33.275, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 23 %, 345.48 W, 53
2026/07/03 08:26:34.276, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 24 %, 345.57 W, 53
2026/07/03 08:26:35.278, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 24 %, 346.06 W, 54
2026/07/03 08:26:36.279, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 346.76 W, 54
2026/07/03 08:26:37.280, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 346.46 W, 55
2026/07/03 08:26:38.282, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 97 %, 348.71 W, 54
2026/07/03 08:26:39.283, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 348.96 W, 54
2026/07/03 08:26:40.284, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 98 %, 348.96 W, 55
2026/07/03 08:26:41.286, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 30 %, 347.67 W, 56
2026/07/03 08:26:42.288, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 346.52 W, 56
2026/07/03 08:26:43.289, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 26 %, 346.81 W, 57
2026/07/03 08:26:44.291, NVIDIA GeForce RTX 3090, 21424 MiB, 24576 MiB, 100 %, 25 %, 346.61 W, 57
