timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 05:06:43.149, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 26.22 W, 46
2026/07/03 05:06:44.158, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.26 W, 45
2026/07/03 05:06:45.159, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.10 W, 44
2026/07/03 05:06:46.161, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.24 W, 43
2026/07/03 05:06:47.162, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 25.37 W, 43
2026/07/03 05:06:48.164, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.86 W, 43
2026/07/03 05:06:49.166, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.73 W, 41
2026/07/03 05:06:50.169, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.72 W, 41
2026/07/03 05:06:51.171, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.45 W, 41
2026/07/03 05:06:52.173, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.18 W, 41
2026/07/03 05:06:53.175, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.05 W, 40
2026/07/03 05:06:54.176, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.16 W, 39
2026/07/03 05:06:55.178, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.03 W, 39
2026/07/03 05:06:56.180, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 23.91 W, 39
2026/07/03 05:06:57.181, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 0 %, 0 %, 24.05 W, 38
2026/07/03 05:06:58.183, NVIDIA GeForce RTX 3090, 20304 MiB, 24576 MiB, 100 %, 25 %, 68.65 W, 48
