timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], temperature.gpu
2026/07/03 15:53:06.254, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.27 W, 47
2026/07/03 15:53:07.258, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.16 W, 47
2026/07/03 15:53:08.259, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.10 W, 46
2026/07/03 15:53:09.259, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.03 W, 46
2026/07/03 15:53:10.260, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 29.02 W, 46
2026/07/03 15:53:11.261, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.99 W, 46
2026/07/03 15:53:12.261, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.91 W, 45
2026/07/03 15:53:13.262, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.81 W, 45
2026/07/03 15:53:14.263, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 0 %, 0 %, 28.78 W, 45
2026/07/03 15:53:15.264, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 399.71 W, 61
2026/07/03 15:53:16.264, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 40 %, 386.84 W, 55
2026/07/03 15:53:17.265, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 318.51 W, 54
2026/07/03 15:53:18.265, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 372.01 W, 64
2026/07/03 15:53:19.266, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 456.50 W, 64
2026/07/03 15:53:20.267, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 347.35 W, 56
2026/07/03 15:53:21.267, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 320.95 W, 56
2026/07/03 15:53:22.268, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 433.78 W, 64
2026/07/03 15:53:23.268, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 410.13 W, 58
2026/07/03 15:53:24.269, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 321.06 W, 57
2026/07/03 15:53:25.269, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 356.08 W, 64
2026/07/03 15:53:26.270, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 459.72 W, 65
2026/07/03 15:53:27.271, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 369.40 W, 58
2026/07/03 15:53:28.272, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 322.80 W, 58
2026/07/03 15:53:29.272, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 414.68 W, 67
2026/07/03 15:53:30.273, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 438.92 W, 60
2026/07/03 15:53:31.273, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 323.86 W, 59
2026/07/03 15:53:32.274, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 329.55 W, 64
2026/07/03 15:53:33.275, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 45 %, 455.82 W, 66
2026/07/03 15:53:34.275, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 394.83 W, 60
2026/07/03 15:53:35.276, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 324.61 W, 59
2026/07/03 15:53:36.276, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 386.62 W, 67
2026/07/03 15:53:37.281, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 452.28 W, 68
2026/07/03 15:53:38.281, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 355.62 W, 60
2026/07/03 15:53:39.282, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 323.50 W, 60
2026/07/03 15:53:40.282, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 437.39 W, 67
2026/07/03 15:53:41.283, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 30 %, 418.20 W, 61
2026/07/03 15:53:42.284, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 324.95 W, 60
2026/07/03 15:53:43.284, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 353.99 W, 67
2026/07/03 15:53:44.285, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 457.86 W, 68
2026/07/03 15:53:45.286, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 385.42 W, 61
2026/07/03 15:53:46.286, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 324.34 W, 60
2026/07/03 15:53:47.287, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 53 %, 407.81 W, 69
2026/07/03 15:53:48.288, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 40 %, 453.12 W, 68
2026/07/03 15:53:49.288, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 345.25 W, 61
2026/07/03 15:53:50.289, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 325.38 W, 61
2026/07/03 15:53:51.289, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 447.10 W, 68
2026/07/03 15:53:52.290, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 31 %, 414.74 W, 62
2026/07/03 15:53:53.291, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 324.80 W, 61
2026/07/03 15:53:54.291, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 365.34 W, 69
2026/07/03 15:53:55.292, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 43 %, 455.22 W, 69
2026/07/03 15:53:56.292, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 382.41 W, 62
2026/07/03 15:53:57.293, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 325.99 W, 61
2026/07/03 15:53:58.293, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 44 %, 413.13 W, 69
2026/07/03 15:53:59.294, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 43 %, 451.53 W, 66
2026/07/03 15:54:00.295, NVIDIA GeForce RTX 4090, 20408 MiB, 24564 MiB, 100 %, 100 %, 342.92 W, 62
